filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0001.jpg,81137,{},9,0,"{""name"":""rect"",""x"":76,""y"":19,""width"":140,""height"":203}","{""animal part"":""head"",""animal"":""donkey""}"
0001.jpg,81137,{},9,1,"{""name"":""rect"",""x"":102,""y"":27,""width"":31,""height"":78}","{""animal part"":""ear"",""animal"":""donkey""}"
0001.jpg,81137,{},9,2,"{""name"":""rect"",""x"":267,""y"":158,""width"":48,""height"":163}","{""animal part"":""leg"",""animal"":""donkey""}"
0001.jpg,81137,{},9,3,"{""name"":""rect"",""x"":83,""y"":2,""width"":454,""height"":314}","{""animal"":""donkey"",""animal part"":""not_defined""}"
0001.jpg,81137,{},9,4,"{""name"":""rect"",""x"":470,""y"":107,""width"":49,""height"":171}","{""animal"":""donkey"",""animal part"":""leg""}"
0001.jpg,81137,{},9,5,"{""name"":""rect"",""x"":405,""y"":149,""width"":66,""height"":92}","{""animal"":""donkey"",""animal part"":""leg""}"
0001.jpg,81137,{},9,6,"{""name"":""rect"",""x"":250,""y"":177,""width"":36,""height"":94}","{""animal"":""donkey"",""animal part"":""leg""}"
0001.jpg,81137,{},9,7,"{""name"":""rect"",""x"":93,""y"":133,""width"":19,""height"":24}","{""animal"":""donkey"",""animal part"":""eye""}"
0001.jpg,81137,{},9,8,"{""name"":""rect"",""x"":102,""y"":176,""width"":66,""height"":41}","{""animal"":""donkey"",""animal part"":""nose""}"
0002.jpg,158183,{},10,0,"{""name"":""rect"",""x"":27,""y"":19,""width"":995,""height"":644}","{""animal"":""donkey"",""animal part"":""not_defined""}"
0002.jpg,158183,{},10,1,"{""name"":""rect"",""x"":917,""y"":151,""width"":225,""height"":510}","{""animal"":""human"",""animal part"":""not_defined""}"
0002.jpg,158183,{},10,2,"{""name"":""rect"",""x"":33,""y"":297,""width"":193,""height"":368}","{""animal"":""donkey"",""animal part"":""leg""}"
0002.jpg,158183,{},10,3,"{""name"":""rect"",""x"":780,""y"":1,""width"":242,""height"":304}","{""animal"":""donkey"",""animal part"":""head""}"
0002.jpg,158183,{},10,4,"{""name"":""rect"",""x"":555,""y"":332,""width"":89,""height"":332}","{""animal"":""donkey"",""animal part"":""leg""}"
0002.jpg,158183,{},10,5,"{""name"":""rect"",""x"":151,""y"":325,""width"":117,""height"":339}","{""animal"":""donkey"",""animal part"":""leg""}"
0002.jpg,158183,{},10,6,"{""name"":""rect"",""x"":900,""y"":73,""width"":45,""height"":32}","{""animal"":""donkey"",""animal part"":""eye""}"
0002.jpg,158183,{},10,7,"{""name"":""rect"",""x"":941,""y"":158,""width"":79,""height"":122}","{""animal"":""donkey"",""animal part"":""nose""}"
0002.jpg,158183,{},10,8,"{""name"":""rect"",""x"":1022,""y"":169,""width"":109,""height"":115}","{""animal"":""human"",""animal part"":""head""}"
0002.jpg,158183,{},10,9,"{""name"":""rect"",""x"":1036,""y"":195,""width"":14,""height"":22}","{""animal"":""human"",""animal part"":""nose""}"
0003.jpg,83132,{},14,0,"{""name"":""rect"",""x"":2,""y"":95,""width"":318,""height"":561}","{""animal"":""donkey"",""animal part"":""not_defined""}"
0003.jpg,83132,{},14,1,"{""name"":""rect"",""x"":516,""y"":348,""width"":80,""height"":312}","{""animal"":""donkey"",""animal part"":""tail""}"
0003.jpg,83132,{},14,2,"{""name"":""rect"",""x"":239,""y"":5,""width"":276,""height"":316}","{""animal"":""donkey"",""animal part"":""head""}"
0003.jpg,83132,{},14,3,"{""name"":""rect"",""x"":241,""y"":3,""width"":128,""height"":59}","{""animal"":""donkey"",""animal part"":""ear""}"
0003.jpg,83132,{},14,4,"{""name"":""rect"",""x"":444,""y"":5,""width"":81,""height"":41}","{""animal"":""donkey"",""animal part"":""ear""}"
